Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1983 Dec 7 1210,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1512,1983-119A,
1983 Dec 8 0613,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1513,1983-120A,
1983 Dec 14 0700,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1514,1983-121A,
1983 Dec 15 1225,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1515,1983-122A,
1983 Dec 21 0607:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Molniya-3,1983-123A,
1983 Dec 27 0930,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1516,1983-124A,
1983 Dec 27 1000,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,K65M-RB,S,Kosmos-1517,1983-125A,
1983 Dec 28 0348:05,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1518,1983-126A,
1983 Dec 29 0052:24,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,Kosmos-1519,1983-127A,
1984 Jan 5 2009,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1522,1984-001A,
1984 Jan 11 1220,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1530,1984-002A,
1984 Jan 11 1808,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1531,1984-003A,
1984 Jan 13 1440,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1532,1984-004A,
1984 Jan 23 0758,TANSC,"Tanegashima Space Center, Japan",30.4,131,N-2,S,Yuri 2A,1984-005A,
1984 Jan 26 0850,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,Kosmos-1533,1984-006A,
